Neurological Disease,Source,Disease Class
"Myopathy, Congenital Structural",MeSH,Neuromuscular Diseases
"Myopathy, Distal",MeSH,Neuromuscular Diseases
"Myopathy, Inflammatory",MeSH,Neuromuscular Diseases
"Myopathy, Mitochondrial Ocular",MeSH,Neurologic Manifestations
"Myopathy, Mitochondrial-Encephalopathy-Lactic Acidosis-Stroke",MeSH,Neuromuscular Diseases
"Myopathy, Myotonic",MeSH,Neuromuscular Diseases
"Myopathy, Myotubular",MeSH,Neuromuscular Diseases
"Myopathy, Nemaline",MeSH,Neuromuscular Diseases
"Myopathy, Rod",MeSH,Neuromuscular Diseases
"Myopathy, Rod Body",MeSH,Neuromuscular Diseases
"Myopathy, Rod-Body",MeSH,Neuromuscular Diseases
Myosclerosis,ICD,Diseases of the nervous system
Myositides,MeSH,Neuromuscular Diseases
"Myositides, Inclusion Body",MeSH,Neuromuscular Diseases
"Myositides, Multiple",MeSH,Neuromuscular Diseases
"Myositides, Orbital",MeSH,Neuromuscular Diseases
Myositis,MeSH,Neuromuscular Diseases
"Myositis, Inclusion Body",MeSH,Neuromuscular Diseases
"Myositis, Multiple",MeSH,Neuromuscular Diseases
"Myositis, Orbital",MeSH,Neuromuscular Diseases
Myotilin myopathy,ICD,Diseases of the nervous system
Myotonia,MeSH|ICD,Diseases of the nervous system|Neurologic Manifestations
Myotonia Atrophica,MeSH,Neurodegenerative Diseases
Myotonia Atrophicas,MeSH,Neurodegenerative Diseases
Myotonia Congenita,MeSH,Neuromuscular Diseases
Myotonia Dystrophica,MeSH,Neurodegenerative Diseases
Myotonia Dystrophicas,MeSH,Neurodegenerative Diseases
Myotonia congenita,ICD,Diseases of the nervous system
"Myotonia congenita, dominant",ICD,Diseases of the nervous system
"Myotonia congenita, recessive",ICD,Diseases of the nervous system
Myotonia fluctuans,ICD,Diseases of the nervous system
Myotonia permanens,ICD,Diseases of the nervous system
"Myotonia, Generalized",MeSH,Neuromuscular Diseases
Myotonias,MeSH,Neurologic Manifestations
"Myotonias, Generalized",MeSH,Neuromuscular Diseases
Myotonic Disorder,MeSH,Neuromuscular Diseases
Myotonic Disorders,MeSH,Neuromuscular Diseases
Myotonic Dystrophies,MeSH,Neurodegenerative Diseases
Myotonic Dystrophy,MeSH,Neurodegenerative Diseases
Myotonic Dystrophy 1,MeSH,Neurodegenerative Diseases
"Myotonic Dystrophy, Steinert",MeSH,Neurodegenerative Diseases
Myotonic Myopathies,MeSH,Neuromuscular Diseases
Myotonic Myopathy,MeSH,Neuromuscular Diseases
Myotonic Periodic Paralysis,MeSH,Neuromuscular Diseases
Myotonic Pupil,MeSH,Neurologic Manifestations
Myotonic Pupils,MeSH,Neurologic Manifestations
Myotonic cataract,ICD,Diseases of the nervous system
Myotonic chondrodystrophy,ICD,Diseases of the nervous system
Myotonic disorders,ICD,Diseases of the nervous system
Myotonic dystrophy,ICD,Diseases of the nervous system
Myotonic dystrophy type 1,ICD,Diseases of the nervous system
Myotonic dystrophy type 2,ICD,Diseases of the nervous system
"Myotonica, Dystrophia",MeSH,Neurodegenerative Diseases
"Myotonicas, Dystrophia",MeSH,Neurodegenerative Diseases
Myotubular Myopathies,MeSH,Neuromuscular Diseases
Myotubular Myopathy,MeSH,Neuromuscular Diseases
Myotubular myopathy,ICD,Diseases of the nervous system
Mysophobia,ICD,Diseases of the nervous system
Möbius Sequence,MeSH,Cranial Nerve Diseases
N Laurylsphingosine Deacylase Deficiency,MeSH,Central Nervous System Diseases
N-Laurylsphingosine Deacylase Deficiencies,MeSH,Central Nervous System Diseases
N-Laurylsphingosine Deacylase Deficiency,MeSH,Central Nervous System Diseases
NBIA 2 PLA2G6 mutation,ICD,Diseases of the nervous system
NBIA2A,MeSH,Central Nervous System Diseases
NF1 (Neurofibromatosis 1),MeSH,Neurocutaneous Syndromes
NF2 (Neurofibromatosis 2),MeSH,Cranial Nerve Diseases
NF2s (Neurofibromatosis 2),MeSH,Cranial Nerve Diseases
NMO Spectrum Disorder,MeSH,Cranial Nerve Diseases
NMO Spectrum Disorders,MeSH,Cranial Nerve Diseases
NMS (Neuroleptic Malignant Syndrome),MeSH,Neurotoxicity Syndromes
NMSs (Neuroleptic Malignant Syndrome),MeSH,Neurotoxicity Syndromes
Nail-biting,ICD,Diseases of the nervous system
"Nanism, Pituitary",MeSH,Central Nervous System Diseases
Narcissistic personality disorder,ICD,Diseases of the nervous system
Narcolepsy,MeSH|ICD,Diseases of the nervous system|Sleep Wake Disorders
"Narcolepsy, Type 1",ICD,Diseases of the nervous system
"Narcolepsy, Type 2",ICD,Diseases of the nervous system
Narcoleptic Syndrome,MeSH,Sleep Wake Disorders
Narcoleptic Syndromes,MeSH,Sleep Wake Disorders
"Narrowing, Carotid Artery",MeSH,Central Nervous System Diseases
"Narrowings, Carotid Artery",MeSH,Central Nervous System Diseases
Nasal bone fracture due to birth injury,ICD,Diseases of the nervous system
Nasal encephalocele,ICD,Diseases of the nervous system
Naso-orbital-ethmoidal fracture,ICD,Diseases of the nervous system
Nasopharyngeal encephalocele,ICD,Diseases of the nervous system
Native American myopathy,ICD,Diseases of the nervous system
Navajo Indian autonomic neuropathy,ICD,Diseases of the nervous system
Neck syndrome,ICD,Diseases of the nervous system
Necrosis of amputation stump,ICD,Diseases of the nervous system
Necrotic myopathy,ICD,Diseases of the nervous system
Necrotising polymyositis,ICD,Diseases of the nervous system
"Necrotizing Encephalomyelitides, Subacute",MeSH,Central Nervous System Diseases
"Necrotizing Encephalomyelitis, Subacute",MeSH,Central Nervous System Diseases
"Necrotizing Encephalomyelopathies, Subacute",MeSH,Central Nervous System Diseases
"Necrotizing Encephalomyelopathy, Subacute",MeSH,Central Nervous System Diseases
"Necrotizing Encephalopathies, Subacute",MeSH,Central Nervous System Diseases
"Necrotizing Encephalopathy, Subacute",MeSH,Central Nervous System Diseases
Negative affectivity in personality disorder or personality difficulty,ICD,Diseases of the nervous system
Negative symptoms in primary psychotic disorders,ICD,Diseases of the nervous system
Negishi virus encephalitis,ICD,Diseases of the nervous system
Nelson Syndrome,MeSH,Central Nervous System Diseases
Nemaline Body Disease,MeSH,Neuromuscular Diseases
Nemaline Myopathies,MeSH,Neuromuscular Diseases
Nemaline Myopathy,MeSH,Neuromuscular Diseases
Nemaline Rod Disease,MeSH,Neuromuscular Diseases
Nemaline myopathy,ICD,Diseases of the nervous system
Neonatal Brachial Plexus Palsy,MeSH,Neuromuscular Diseases
"Neonatal Convulsion, Benign",MeSH,Central Nervous System Diseases
"Neonatal Convulsions, Benign",MeSH,Central Nervous System Diseases
"Neonatal Epilepsies, Benign",MeSH,Central Nervous System Diseases
"Neonatal Epilepsy, Benign",MeSH,Central Nervous System Diseases
Neonatal Myasthenia Gravis,MeSH,Neuromuscular Diseases
Neonatal adrenoleukodystrophy,ICD,Diseases of the nervous system
Neonatal arterial ischemic stroke,ICD,Diseases of the nervous system
Neonatal cerebral ischaemia,ICD,Diseases of the nervous system
Neonatal cerebral sinovenous thrombosis,ICD,Diseases of the nervous system
Neonatal cerebral ventriculomegaly,ICD,Diseases of the nervous system
Neonatal encephalopathy,ICD,Diseases of the nervous system
"Neonatal encephalopathy, mild",ICD,Diseases of the nervous system
"Neonatal encephalopathy, moderate",ICD,Diseases of the nervous system
"Neonatal encephalopathy, severe",ICD,Diseases of the nervous system
Neonatal hydrocephalus,ICD,Diseases of the nervous system
Neonatal meningitis,ICD,Diseases of the nervous system
Neonatal myasthenia gravis,ICD,Diseases of the nervous system
Neonatal obstructive hydrocephalus,ICD,Diseases of the nervous system
Neonatal seizures,ICD,Diseases of the nervous system
Neonatal tetany without calcium or magnesium deficiency,ICD,Diseases of the nervous system
"Neonatal-Infantile Epilepsies, Benign",MeSH,Central Nervous System Diseases
"Neonatal-Infantile Epilepsy, Benign",MeSH,Central Nervous System Diseases
"Neoplasm, Brain",MeSH,Nervous System Neoplasms
"Neoplasm, Brain Stem",MeSH,Nervous System Neoplasms
"Neoplasm, Brain Ventricular",MeSH,Central Nervous System Diseases
"Neoplasm, Brainstem",MeSH,Nervous System Neoplasms
"Neoplasm, CNS",MeSH,Nervous System Neoplasms
"Neoplasm, Cerebellar",MeSH,Nervous System Neoplasms
"Neoplasm, Cerebral Ventricle",MeSH,Central Nervous System Diseases
"Neoplasm, Cerebroventricular",MeSH,Central Nervous System Diseases
"Neoplasm, Choroid Plexus",MeSH,Nervous System Neoplasms
"Neoplasm, Cranial Nerve",MeSH,Nervous System Neoplasms
"Neoplasm, Hypothalamic",MeSH,Central Nervous System Diseases
"Neoplasm, Hypothalamus",MeSH,Central Nervous System Diseases
"Neoplasm, Infratentorial",MeSH,Nervous System Neoplasms
"Neoplasm, Intraventricular",MeSH,Central Nervous System Diseases
"Neoplasm, Meningeal",MeSH,Nervous System Neoplasms
"Neoplasm, Nerve Sheath",MeSH,Neuromuscular Diseases
"Neoplasm, Nervous System",MeSH,Nervous System Neoplasms
"Neoplasm, Optic Nerve",MeSH,Nervous System Neoplasms
"Neoplasm, Peripheral Nerve",MeSH,Nervous System Neoplasms
"Neoplasm, Pineal",MeSH,Central Nervous System Diseases
"Neoplasm, Pituitary",MeSH,Central Nervous System Diseases
"Neoplasm, Posterior Fossa",MeSH,Nervous System Neoplasms
"Neoplasm, Spinal Cord",MeSH,Central Nervous System Diseases
"Neoplasm, Supratentorial",MeSH,Central Nervous System Diseases
Neoplasms of the nervous system,ICD,Diseases of the nervous system
"Neoplasms, Brain",MeSH,Nervous System Neoplasms
"Neoplasms, Brain Stem",MeSH,Nervous System Neoplasms
"Neoplasms, Brain Ventricular",MeSH,Central Nervous System Diseases
"Neoplasms, Brainstem",MeSH,Nervous System Neoplasms
"Neoplasms, CNS",MeSH,Nervous System Neoplasms
"Neoplasms, Central Nervous System",MeSH,Nervous System Neoplasms
"Neoplasms, Cerebellar",MeSH,Nervous System Neoplasms
"Neoplasms, Cerebral Ventricle",MeSH,Central Nervous System Diseases
"Neoplasms, Cerebroventricular",MeSH,Central Nervous System Diseases
"Neoplasms, Choroid Plexus",MeSH,Nervous System Neoplasms
"Neoplasms, Cranial Nerve",MeSH,Nervous System Neoplasms
"Neoplasms, Epidural",MeSH,Central Nervous System Diseases
"Neoplasms, Hypothalamic",MeSH,Central Nervous System Diseases
"Neoplasms, Hypothalamus",MeSH,Central Nervous System Diseases
"Neoplasms, Infratentorial",MeSH,Nervous System Neoplasms
"Neoplasms, Intraventricular",MeSH,Central Nervous System Diseases
"Neoplasms, Meningeal",MeSH,Nervous System Neoplasms
"Neoplasms, Nerve Sheath",MeSH,Neuromuscular Diseases
"Neoplasms, Nervous System",MeSH,Nervous System Neoplasms
"Neoplasms, Optic Nerve",MeSH,Nervous System Neoplasms
"Neoplasms, Peripheral Nerve",MeSH,Nervous System Neoplasms
"Neoplasms, Pineal",MeSH,Central Nervous System Diseases
"Neoplasms, Pituitary",MeSH,Central Nervous System Diseases
"Neoplasms, Posterior Fossa",MeSH,Nervous System Neoplasms
"Neoplasms, Spinal Cord",MeSH,Central Nervous System Diseases
"Neoplasms, Supratentorial",MeSH,Central Nervous System Diseases
"Neoplasms, Ventricular, Brain",MeSH,Central Nervous System Diseases
Neoplastic meningitis,ICD,Diseases of the nervous system
Nerve Compression Syndrome,MeSH,Neuromuscular Diseases
Nerve Compression Syndromes,MeSH,Neuromuscular Diseases
"Nerve Compression, Ulnar",MeSH,Neuromuscular Diseases
"Nerve Disease, Femoral",MeSH,Neuromuscular Diseases
"Nerve Disease, Fibular",MeSH,Neuromuscular Diseases
"Nerve Disease, Median",MeSH,Neuromuscular Diseases
"Nerve Disease, Oculomotor",MeSH,Cranial Nerve Diseases
"Nerve Disease, Peripheral",MeSH,Neuromuscular Diseases
"Nerve Disease, Sciatic",MeSH,Neuromuscular Diseases
"Nerve Disease, Tibial",MeSH,Neuromuscular Diseases
"Nerve Disease, Ulnar",MeSH,Neuromuscular Diseases
"Nerve Diseases, Femoral",MeSH,Neuromuscular Diseases
"Nerve Diseases, Peripheral",MeSH,Neuromuscular Diseases
"Nerve Diseases, Sciatic",MeSH,Neuromuscular Diseases
"Nerve Diseases, Tibial",MeSH,Neuromuscular Diseases
"Nerve Diseases, Ulnar",MeSH,Neuromuscular Diseases
"Nerve Disorder, Oculomotor",MeSH,Cranial Nerve Diseases
"Nerve Inflammation, Vestibular",MeSH,Cranial Nerve Diseases
"Nerve Inflammations, Vestibular",MeSH,Cranial Nerve Diseases
"Nerve Injuries, Abducens",MeSH,Cranial Nerve Diseases
"Nerve Injuries, Accessory",MeSH,Cranial Nerve Diseases
"Nerve Injuries, Cranial",MeSH,Cranial Nerve Diseases
"Nerve Injuries, Glossopharyngeal",MeSH,"Trauma, Nervous System"
"Nerve Injuries, Hypoglossal",MeSH,Cranial Nerve Diseases
"Nerve Injuries, Laryngeal",MeSH,"Trauma, Nervous System"
"Nerve Injuries, Lingual",MeSH,"Trauma, Nervous System"
"Nerve Injuries, Oculomotor",MeSH,"Trauma, Nervous System"
"Nerve Injuries, Olfactory",MeSH,Cranial Nerve Diseases
"Nerve Injuries, Optic",MeSH,Cranial Nerve Diseases
"Nerve Injuries, Peripheral",MeSH,"Trauma, Nervous System"
"Nerve Injuries, Trigeminal",MeSH,Cranial Nerve Diseases
"Nerve Injuries, Trochlear",MeSH,Cranial Nerve Diseases
"Nerve Injuries, Vagus",MeSH,"Trauma, Nervous System"
"Nerve Injuries, Vestibulocochlear",MeSH,"Trauma, Nervous System"
"Nerve Injury, Abducens",MeSH,Cranial Nerve Diseases
"Nerve Injury, Accessory",MeSH,Cranial Nerve Diseases
"Nerve Injury, Cranial",MeSH,Cranial Nerve Diseases
"Nerve Injury, Facial",MeSH,Cranial Nerve Diseases
"Nerve Injury, Glossopharyngeal",MeSH,"Trauma, Nervous System"
"Nerve Injury, Hypoglossal",MeSH,Cranial Nerve Diseases
"Nerve Injury, Laryngeal",MeSH,"Trauma, Nervous System"
"Nerve Injury, Lingual",MeSH,"Trauma, Nervous System"
"Nerve Injury, Oculomotor",MeSH,"Trauma, Nervous System"
"Nerve Injury, Olfactory",MeSH,Cranial Nerve Diseases
"Nerve Injury, Optic",MeSH,Cranial Nerve Diseases
"Nerve Injury, Peripheral",MeSH,"Trauma, Nervous System"
"Nerve Injury, Trigeminal",MeSH,Cranial Nerve Diseases
"Nerve Injury, Trochlear",MeSH,Cranial Nerve Diseases
"Nerve Injury, Vagus",MeSH,"Trauma, Nervous System"
"Nerve Injury, Vestibulocochlear",MeSH,"Trauma, Nervous System"
"Nerve Ischemia, Optic",MeSH,Cranial Nerve Diseases
"Nerve Neoplasm, Peripheral",MeSH,Nervous System Neoplasms
"Nerve Neoplasms, Peripheral",MeSH,Nervous System Neoplasms
"Nerve Neuritides, Vestibular",MeSH,Cranial Nerve Diseases
"Nerve Neuritis, Vestibular",MeSH,Cranial Nerve Diseases
"Nerve Neuropathy, Median",MeSH,Neuromuscular Diseases
"Nerve Palsy, Oculomotor",MeSH,Cranial Nerve Diseases
"Nerve Paralysis, Oculomotor",MeSH,Cranial Nerve Diseases
Nerve Sheath Neoplasm,MeSH,Neuromuscular Diseases
Nerve Sheath Neoplasms,MeSH,Neuromuscular Diseases
Nerve Sheath Tumor,MeSH,Neuromuscular Diseases
Nerve Sheath Tumors,MeSH,Neuromuscular Diseases
"Nerve Trauma, Abducens",MeSH,Cranial Nerve Diseases
"Nerve Trauma, Accessory",MeSH,Cranial Nerve Diseases
"Nerve Trauma, Facial",MeSH,Cranial Nerve Diseases
"Nerve Trauma, Glossopharyngeal",MeSH,"Trauma, Nervous System"
"Nerve Trauma, Hypoglossal",MeSH,Cranial Nerve Diseases
"Nerve Trauma, Laryngeal",MeSH,"Trauma, Nervous System"
"Nerve Trauma, Oculomotor",MeSH,"Trauma, Nervous System"
"Nerve Trauma, Olfactory",MeSH,Cranial Nerve Diseases
"Nerve Trauma, Optic",MeSH,Cranial Nerve Diseases
"Nerve Trauma, Trigeminal",MeSH,Cranial Nerve Diseases
"Nerve Trauma, Trochlear",MeSH,Cranial Nerve Diseases
"Nerve Trauma, Vagus",MeSH,"Trauma, Nervous System"
"Nerve Trauma, Vestibulocochlear",MeSH,"Trauma, Nervous System"
"Nerve Traumas, Abducens",MeSH,Cranial Nerve Diseases
"Nerve Traumas, Accessory",MeSH,Cranial Nerve Diseases
"Nerve Traumas, Glossopharyngeal",MeSH,"Trauma, Nervous System"
"Nerve Traumas, Hypoglossal",MeSH,Cranial Nerve Diseases
"Nerve Traumas, Laryngeal",MeSH,"Trauma, Nervous System"
"Nerve Traumas, Oculomotor",MeSH,"Trauma, Nervous System"
"Nerve Traumas, Olfactory",MeSH,Cranial Nerve Diseases
"Nerve Traumas, Optic",MeSH,Cranial Nerve Diseases
"Nerve Traumas, Trigeminal",MeSH,Cranial Nerve Diseases
"Nerve Traumas, Trochlear",MeSH,Cranial Nerve Diseases
"Nerve Traumas, Vagus",MeSH,"Trauma, Nervous System"
"Nerve Traumas, Vestibulocochlear",MeSH,"Trauma, Nervous System"
"Nerve Tumor, Peripheral",MeSH,Nervous System Neoplasms
"Nerve Tumors, Peripheral",MeSH,Nervous System Neoplasms
"Nerve entrapment syndrome, not elsewhere classified",ICD,Diseases of the nervous system
Nerve restricted multiple mononeuropathy vasculitis,ICD,Diseases of the nervous system
Nerve root and plexus compressions,ICD,Diseases of the nervous system
Nerve root avulsion,ICD,Diseases of the nervous system
Nerve root cyst,ICD,Diseases of the nervous system
Nerve root or plexus compressions in intervertebral disc disorders,ICD,Diseases of the nervous system
Nerve root or plexus compressions in neoplastic disease,ICD,Diseases of the nervous system
